,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
706,126.9796833,37.1932,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 정남면,4116663.0,수원과학대학,36213.0,Suwon Science College,노변정류장,233000912
707,126.9798,37.1932167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 정남면,4116664.0,수원과학대학,36212.0,Suwon Science College,노변정류장,233000913
708,126.9798,37.1932167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 정남면,9116664.0,수원과학대학,36212.0,Suwon Science College,노변정류장,233000913
709,126.89891670000002,37.1553167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 팔탄면,4170420.0,구장1리(새터말.율암리),36803.0,"Gujang 1-ri (Saeteomal, Yuram-ri)",노변정류장,233000923
710,126.89805,37.1450667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 팔탄면,4117354.0,지월리입구,37234.0,Jiwol-ri,노변정류장,233000925
711,126.90605,37.1379333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 향남읍,4130358.0,화성중고등학교,37256.0,Hwaseong Middle & High School ,노변정류장,233000924
712,126.9967,37.1227833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 양감면,4130227.0,부처내,37351.0,Bucheo,노변정류장,233000946
713,126.9844667,37.1252333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 향남읍,4130327.0,갈천다리,37343.0,Galcheon Bridge,노변정류장,233000947
714,126.9629,37.1314833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 향남읍,4170361.0,아시아자동차,37328.0,Asia Motors Co.,노변정류장,233000948
715,126.9761833,37.2159,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4116673.0,와우2리,36193.0,Wau 2-ri,노변정류장,233000944
716,127.0780333,37.1836167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130047.0,금곡2리,36412.0,Geumgok 2-ri ,노변정류장,233000956
717,127.0831,37.18565,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 반송동,4130048.0,국제식품.재활원,36426.0,"Kukje Food, Rehabilitation Center",노변정류장,233000957
718,127.11078329999998,37.2034833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130056.0,경남.반도1차,36452.0,"Gyeongnam, Bando 1-cha ",노변정류장,233000960
719,127.10496670000002,37.2042833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130057.0,영천초.계룡,36453.0,"Yeongcheon Elementary School,  Kyeryong Apartment ",노변정류장,233000961
720,127.0990167,37.2033167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130064.0,우남퍼스트빌,36469.0,Woonam Firstvill Apartment ,노변정류장,233000964
721,127.0990167,37.2033167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,9130064.0,우남퍼스트빌,36469.0,Woonam Firstvill Apartment ,노변정류장,233000964
722,127.1290833,37.2031333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130077.0,일진정공,36499.0,Iljin Power Energy ,노변정류장,233000972
723,127.11943329999998,37.1946,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4130065.0,청목초.신안1차,36468.0,"Cheongmok Elementary School, Shinan 1-cha",노변정류장,233000965
724,127.1341,37.2031333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130078.0,상록골프장,36504.0,Sangnok Golf Range,노변정류장,233000969
725,127.13401670000002,37.2032333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130079.0,상록골프장,36503.0,Sangnok Golf Range,노변정류장,233000970
726,127.1291167,37.203,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130076.0,일진정공,36500.0,Iljin Power Energy ,노변정류장,233000971
727,127.11445,37.2020333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130059.0,모아.반도아파트,36459.0,"Moa, Bando Apartment ",노변정류장,233000980
728,127.1162667,37.20475,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130051.0,동탄2부영아파트,36434.0,Dongtan 2 Booyoung Apartment ,노변정류장,233000981
729,127.07965,37.1780167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130043.0,대영가든,36422.0,Daeyoung Garden ,노변정류장,233000985
730,127.0790833,37.1714667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4130038.0,금곡1리,36419.0,Geumgok 1-ri,노변정류장,233000986
731,127.1032333,37.1802,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 동탄면,4120437.0,반도3.금강,36488.0,"Bando 3, Geumgang",노변정류장,233000996
732,127.1051833,37.1760167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4120453.0,LH65블럭.하우스디더레이크.나래학교,36494.0,LH65.66,노변정류장,233000997
733,127.0986667,37.1907,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4170291.0,리베라CC,36502.0,Riviera CC,노변정류장,233000998
734,126.82886670000002,37.2001333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4120433.0,화성시청후문,36507.0,Hwaseong City Hall Back Gate,노변정류장,233001000
735,126.8291167,37.1999667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4120456.0,화성시청후문,36510.0,Hwaseong City Hall Back Gate,노변정류장,233001001
736,127.0125833,37.1291,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4130553.0,윗머드내.평화약국,37917.0,"Witmeodeunae, Pyeonghwa Pharmacy ",노변정류장,233001012
737,127.0072167,37.1264833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 평택시 서탄면,4130555.0,아랫머드내.신동아자동차학원,15278.0,"Araetmedeudae, SindongAh Driving School ",노변정류장,233001013
